,0,1
0,345,0
1,345,0000756143502
2,344,9989918054973
3,344,99896660055924
4,344,99982356638736
5,344,9997227470992
6,345,0075612709535
7,345,00763688198924
8,345,007309233928
9,345,00735964136254
10,345,0081409547145
11,345,0081157511132
12,344,9964712934607
13,344,99644608815424
14,344,9972274509387
15,344,9972778613194
16,344,9969501935816
17,344,9970258092687
18,345,00486445567105
19,345,004763639329
20,345,00562057635864
21,345,0055953723891
22,345,004511598216
23,345,00458721058857
24,344,92436905465604
25,344,9244447021695
26,344,9233604179731
27,344,9233352019804
28,344,92419254366234
29,344,92409168015627
30,344,92436905465604
31,344,9244447021695
32,344,9233604179731
33,344,9233352019804
34,344,92419254366234
35,344,92409168015627
36,344,91327372668263
37,344,9132485092151
38,344,91327372668263
39,344,9132485092151
40,344,9129963343371
41,344,9129963343371
42,344,92167093831324
43,344,9215700733324
44,344,92167093831324
45,344,9215700733324
46,344,9205614202794
47,344,9205614202794
48,345,0075612709535
49,345,00763688198924
50,345,007309233928
51,345,00735964136254
52,345,0081409547145
53,345,0081157511132
54,345,0
55,345,0000756143502
56,344,9989918054973
57,344,99896660055924
58,344,99982356638736
59,344,9997227470992
60,344,9972274509387
61,344,9972778613194
62,344,9964712934607
63,344,99644608815424
64,344,9970258092687
65,344,9969501935816
66,345,00562057635864
67,345,0055953723891
68,345,00486445567105
69,345,004763639329
70,345,00458721058857
71,345,004511598216
72,344,8956205972146
73,344,8955953771656
74,344,8963771969709
75,344,8964276368366
76,344,89609977744567
77,344,89617543736045
78,344,88805441707166
79,344,8880291959161
80,344,88805441707166
81,344,8880291959161
82,344,887776984157
83,344,887776984157
84,344,8963771969709
85,344,8964276368366
86,344,8956205972146
87,344,8955953771656
88,344,89617543736045
89,344,89609977744567
90,344,89357776129145
91,344,8936534223128
92,344,89282114925277
93,344,89282114925277
94,344,8936534223128
95,344,89357776129145
96,344,979658536025
97,344,9795577049501
98,344,98041476720806
99,344,9803895595554
100,344,9793056270049
101,344,9793812504272
102,344,9720960418365
103,344,9719952063407
104,344,9720960418365
105,344,9719952063407
106,344,9709868481404
107,344,9709868481404
108,344,98041476720806
109,344,9803895595554
110,344,979658536025
111,344,9795577049501
112,344,9793812504272
113,344,9793056270049
114,344,9692222071052
115,344,9692978349484
116,344,96846592684915
117,344,96846592684915
118,344,9692978349484
119,344,9692222071052
120,346,50570632082247
121,346,5057812794513
122,346,50470686933977
123,346,50468188297884
124,346,50553141722924
125,346,5054314722395
126,346,51320202317186
127,346,51327697855766
128,346,5129521716515
129,346,51300214198443
130,346,51377668030125
131,346,5137516952483
132,346,50220821540813
133,346,5021832286869
134,346,50295781537136
135,346,50300778858696
136,346,50268296242814
137,346,502757922365
138,346,510528593206
139,346,51042865109895
140,346,51127815717115
141,346,51125317175786
142,346,5101787955791
143,346,5102537522729
144,346,5806487560601
145,346,5807236822752
146,346,5796497367628
147,346,57962476120656
148,346,58047392809885
149,346,5803740263275
150,346,59563335444795
151,346,5957082741845
152,346,5961328187468
153,346,5962576845966
154,346,5969569316928
155,346,597006877806
156,346,5846447756569
157,346,58461980082063
158,346,58614325924964
159,346,5862681322975
160,346,58586853822766
161,346,5860183861118
162,346,59296119599685
163,346,592861301424
164,346,59445960767937
165,346,59450955451234
166,346,59336077371233
167,346,59351061511813
168,346,6630480186046
169,346,6631229092052
170,346,66279838303575
171,346,6628483101783
172,346,6636221790485
173,346,66359721559047
174,346,67053691849446
175,346,6706118058594
176,346,671036166983
177,346,6711609788805
178,346,67185992384543
179,346,67190984837794
180,346,6677910261035
181,346,66784095180793
182,346,66853991016046
183,346,6686647238554
184,346,6690890897459
185,346,6691639777364
186,346,67610345777535
187,346,67607849611477
188,346,6768523059201
189,346,67690222901473
190,346,67657772864266
191,346,67665261339783
192,346,5521744488353
193,346,5521494693187
194,346,55292383265873
195,346,5529737914651
196,346,55264905896644
197,346,5527239972894
198,346,5596681412327
199,346,55964316279636
200,346,56116684082394
201,346,5612917318714
202,346,56089208020256
203,346,5610419496864
204,346,56791082858234
205,346,5679607830679
206,346,568660144354
207,346,56878503000087
208,346,5692096405272
209,346,5692845716885
210,346,5651383320534
211,346,5652132649752
212,346,56588765981394
213,346,5660375249772
214,346,566711916608
215,346,56678684884946
216,346,6354111778143
217,346,63531130770673
218,346,63616020178665
219,346,636135234373
220,346,6350616321861
221,346,6351365348801
